,case_number_id,country,empire,fatal,area,location,activity,injury,type_of_attack
182,2015.06.26.b,SOUTH AFRICA,UNITED KINGDOM,False,Western Cape Province,"Lookout Beach, Plettenberg Bay",Surfing,Multiple lacerations to torso & leg,Unprovoked
183,2015.06.26.a,USA,UNITED KINGDOM,False,South Carolina,"South Beach, Hunting Island State Park, Beaufort County",Standing,Puncture wounds to foot,Unprovoked
184,2015.06.25.R,AUSTRALIA,UNITED KINGDOM,False,Western Australia,Rottnest Island,Swimming,Minor lacerations to forearm when he grabbed shark by its tail     PROVOKED INCIDENT,Provoked
185,2015.06.25,USA,UNITED KINGDOM,False,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Body surfing?,Multiple lacerations to back,Unprovoked
186,2015.06.24.b,USA,UNITED KINGDOM,False,North Carolina,Surf City,Swimming,Minor injury to foot,Unprovoked
187,2015.06.24.a,AUSTRALIA,UNITED KINGDOM,False,Western Australia,Denmark,Surfing,"Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force",Invalid
188,2015.06.23,USA,UNITED KINGDOM,False,South Carolina,"St. Helena Island, Beaufort County",Standing,Minor injury to calf ,Unprovoked
189,2015.06.19,PUERTO RICO,SPAIN,False,,Off Cabo Rojo,Spearfishing,Injury to hand,Unprovoked
190,2015.06.17,USA,UNITED KINGDOM,False,Florida,Daytona Beach Shores,Swimming,Minor injury to calf ,Unprovoked
191,2015.06.14.b,USA,UNITED KINGDOM,False,North Carolina,"Oak Island, Brunswick County",Wading,Arm amputated below shoulder,Unprovoked
192,2015.06.14.a,USA,UNITED KINGDOM,False,North Carolina,"Oak Island, Brunswick County",Wading,Left arm amputated at elbow & severe injury to leg,Unprovoked
193,2015.06.13,USA,UNITED KINGDOM,False,California,Off San Diego,,Severe laceration to leg,Unprovoked
194,2015.06.11,USA,UNITED KINGDOM,False,North Carolina,"Ocean Isle, Brunswick County",Boogie boarding,Minor lacerations to foot,Unprovoked
195,2015.06.07,USA,UNITED KINGDOM,False,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Playing,Lacerations to right calf,Unprovoked
196,2015.06.05,USA,UNITED KINGDOM,False,Florida,Fort Lauderdale,Attempting to rescue a shark,Puncture wound to finger,Unprovoked
197,2015.06.01,REUNION,FRANCE,False,Le Port,Folette,Surfing,Left forearm bitten,Unprovoked
198,2015.05.29.b,USA,UNITED KINGDOM,False,Florida,"Cocoa Beach, Brevard  County",Standing,Left foot bitten,Unprovoked
199,2015.05.29.a,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Wading,Minor lacerations to dorsum of right foot,Unprovoked
200,2015.05.25,FRENCH POLYNESIA,FRANCE,False,Rangiroa,Avatoru Pass,Spearfishing,Lacerations to right forearm,Unprovoked
201,2015.05.24,USA,UNITED KINGDOM,False,Florida,"Cocoa Beach, Brevard  County",Swimming,"Puncture wounds to lower left leg and ankle, shallow lacerations to foot, deep laceration to Achilles tendon",Unprovoked
202,2015.05.20,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Surfing,2 puncture wounds to  dorsum of left foot,Unprovoked
203,2015.05.15,USA,UNITED KINGDOM,False,South Carolina,Sullivan's Island,,Laceration to foot ,Unprovoked
204,2015.05.09,NEW CALEDONIA,FRANCE,True,,Kouare ,Snorkeling,FATAL,Unprovoked
205,2015.05.07,USA,UNITED KINGDOM,False,Florida,"Cocoa Beach, Brevard  County",Swimming,"Lacerations to lower left leg, ankle & foot",Unprovoked
206,2015.05.03,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Saltwater Beach,Surfing,Injuries to left arm & right hand,Unprovoked
207,2015.05.02,SOUTH AFRICA,UNITED KINGDOM,False,Eastern Cape Province,Port St. John's,Diving,"Injuries to leg, left arm & both hands",Unprovoked
208,2015.04.29,USA,UNITED KINGDOM,True,Hawaii,Kanahena Cove ,Snorkeling,FATAL,Unprovoked
209,2015.04.26,USA,UNITED KINGDOM,False,Florida,"Resident's Beach, Marco Island",Wading,Lacerations to left calf,Unprovoked
210,2015.04.25,AUSTRALIA,UNITED KINGDOM,False,South Australia,Fishery Bay,Surfing,Leg severed at mid-thigh,Unprovoked
211,2015.04.24.c,AUSTRALIA,UNITED KINGDOM,False,New South Wales,"Belongil Beach, Byron Bay",Surf skiing ,"No injury, knocked off ski",Unprovoked
212,2015.04.13,USA,UNITED KINGDOM,False,Florida,"Florida Keys, Monroe County",Photographing the shark,Lacerations to shoulder and left bicep,Unprovoked
213,2015.04.11,AUSTRALIA,UNITED KINGDOM,False,New South Wales,McKenzies Beach,Paddle boarding,Ankle injured,Unprovoked
214,2015.04.12,REUNION,FRANCE,True,Saint-Gilles-les-Bains,Cap Homard,Surfing,FATAL,Unprovoked
215,2015.03.31,BRAZIL,PORTUGAL,False,Pernambuco,"Praia del Chifre, Olinda",Surfing,Injury to left thigh from unidentified species of fish; injuries inconsistent with shark bite,Invalid
216,2015.04.03,USA,UNITED KINGDOM,False,Florida,"3 miles off Jupiter, Palm Beach County",Spearfishing,Injuries to head & torso,Unprovoked
217,2015.03.29,ITALY,OTHER,True,Sardinia,,Diving,"FATAL, but shark involvement prior to death unconfirmed",Invalid
218,2015.03.26,SOUTH AFRICA,UNITED KINGDOM,False,Eastern Cape Province,Yellow Sands Point,Kayak Fishing,No injury but kayak bitten,Boat
219,2015.03.21,EGYPT,UNITED KINGDOM,True,,Marsa Alam,Swimming,FATAL,Unprovoked
220,2015.03.18,USA,UNITED KINGDOM,False,Hawaii,Hapuna Beach,Standing / Snorkeling,Lacerations to left forearm. Lacerations to left hand and thigh,Unprovoked
221,2015.03.16,FRENCH POLYNESIA,FRANCE,False,Bora Bora,Anau,Hand feeding sharks,Hand bitten,Unprovoked
222,2015.03.11,AUSTRALIA,UNITED KINGDOM,False,New South Wales,"Julian Rocks, Byron Bay",Fishing,Bruised in falling overboard as shark bumped boat,Boat
223,2015.03.10,MEXICO,SPAIN,False,Sinaloa,Mazlatan,Fishing,Right hand bitten by hooked shark PROVOKED INCIDENT,Provoked
224,2015.03.07,FRENCH POLYNESIA,FRANCE,False,Central Tuamotu,"Tupapati, Hikueru Atoll",Sitting in the water,Thigh bitten,Unprovoked
226,2015.02.14,REUNION,FRANCE,True,d��tang-Sal�,Ravine Mula,Swimming,FATAL,Unprovoked
227,2015.02.09,AUSTRALIA,UNITED KINGDOM,True,New South Wales,Shelly Beach,Surfing,FATAL,Unprovoked
228,2015.02.08,AUSTRALIA,UNITED KINGDOM,False,New South Wales,"Seven Mile Beach, Byron Bay",Surfing,Laceration & puncture wounds to right flank & hip,Unprovoked
229,2015.02.05,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Mereweather Beach,Bodysurfing,5 minor puncture wounds to lower left leg,Unprovoked
230,2015.01.30,AUSTRALIA,UNITED KINGDOM,False,Queensland,"Nerang River, Surfer's  Paradise",Rowing,"No injury, shark's teeth scratched hull",Boat
231,2015.01.27,USA,UNITED KINGDOM,False,Hawaii,Lahaina,Shark fishing,Lacerations to calf by hooked shark PROVOKED INCIDENT,Provoked
232,2015.01.24,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Flat Rock,Surfing,"No injury, surfboard dented",Unprovoked
233,2015.01.19.b,USA,UNITED KINGDOM,False,Florida,Off Panama City,Fishing,No injury but shark bit trolling motor & rammed boat,Boat
234,2015.01.19.a,AUSTRALIA,UNITED KINGDOM,False,New South Wales,"Wategos Beach, Byon Bay",Surfing & filming dolphins,Board snapped in two,Invalid
235,2015.01.17,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Off Blacksmith Beach,Fishing,"Shark bumped boat, no injury to occupants",Boat
236,2015.01.16,AUSTRALIA,UNITED KINGDOM,False,New South Wales,"Mollymook Beach, Bannister Head",Filming,Bitten on hand & wrist,Unprovoked
237,2015.01.08,USA,UNITED KINGDOM,False,Florida,,Swimming after falling overboard,"During his 16-hour swim to shore, he was circled by a shark but it did not injure him",Invalid
238,2015.01.06,BAHAMAS,UNITED KINGDOM,False,Abaco Islands,"Tahiti Beach, Elbow Cay",Snorkeling,Severe bite to right flank,Unprovoked
239,2015.01.03,SOUTH AFRICA,UNITED KINGDOM,False,Eastern Cape Province,Chintsa East Beach,Surfing,"Lacerations to lower left leg, puncture wounds to sole of left foot",Unprovoked
240,2015.01.01,USA,UNITED KINGDOM,False,Florida,"Windsor Beach, Indian River County",,Leg bitten,Unprovoked
241,2014.12.29.b,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Bherwerre Beach,Surfing,Lacerations to both feet,Unprovoked
242,2014.12.29.a,AUSTRALIA,UNITED KINGDOM,True,Western Australia,Three Stripes near Cheynes Beach,Spearfishing,FATAL,Unprovoked
243,2014.12.28.d,GREECE,OTHER,False,,33 nautical miles off Othonoi Island,,"Of 9 bodies recovered, one was bitten by a shark",Sea Disaster
244,2014.12.28.c,SOUTH AFRICA,UNITED KINGDOM,False,KwaZulu-Natal,Durban,Swimming,Minor cuts on feet,Invalid
245,2014.12.28.b,USA,UNITED KINGDOM,False,California,"Monta�a de Oro State Park, San Luis Obispo County ",Surfing,Injury to hip/leg,Unprovoked
246,2014.12.28.a,AUSTRALIA,UNITED KINGDOM,False,Victoria,Paradise Beach,Fishing,Laceration to calf when he fell on shark he had caught PROVOKED INCIDENT,Provoked
247,2014.12.23.R,JAPAN,OTHER,False,,,Diving / Filming,"No injury, shark snagged its teeth in diver's suit",Unprovoked
248,2014.12.15,AUSTRALIA,UNITED KINGDOM,True,Queensland,Rudder Reef,Spearfishing,FATAL,Unprovoked
249,2014.12.03.R,SPAIN,SPAIN,False,Granada,Off Motril,Fishing for blue sharks,Glancing bite to wrist from netted shark PROVOKED INCIDENT,Provoked
250,2014.11.29,AUSTRALIA,UNITED KINGDOM,False,Western Australia,"Pyramids Beach, Port Bouvard",Surfing,Minor injuries to right leg,Unprovoked
251,2014.11.20,MAURITIUS,UNITED KINGDOM,True,Cargados Carajos Shoals (St. Brandon),,Fishing,"FATAL, arm bitten by shark hauled on deck             PROVOKED INCIDENT",Provoked
252,2014.11.19,AUSTRALIA,UNITED KINGDOM,False,Western Australia,Freo,Fishing,"Shark chasing fish bumped boat, no injury to occupants",Boat
253,2014.11.16,USA,UNITED KINGDOM,False,Florida,"Indian Harbor Beach, Brevard County",Surfing,Laceration to left hand,Unprovoked
254,2014.11.17,USA,UNITED KINGDOM,False,California,"Franklin Point, San Mateo County",,"Shark bumped boat, no injury to occupants",Boat
255,2014.11.13,USA,UNITED KINGDOM,False,Hawaii,"Airplane Beach, Lahina, West Maui",Snorkeling,Laceration to left upper leg,Unprovoked
256,2014.11.10,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Moonee Beach,Surfing,Minor injury to lower leg and foot,Unprovoked
257,2014.11.08,USA,UNITED KINGDOM,False,Florida,"Fort Pierce Inlet State Park, St. Lucie County",Surfing,Minor injuries to hand & arm ,Unprovoked
258,2014.10.31,USA,UNITED KINGDOM,False,Hawaii,"North Kohala, Hawaii County",Surfing,Lacerations to fingers,Unprovoked
259,2014.10.30,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Wallabi Point,Surfing,Laceration to dorsum of left foot when he stepped on the shark     PROVOKED INCIDENT,Provoked
260,2014.10.22,USA,UNITED KINGDOM,False,Hawaii,"Kihei, Maui",Stand-Up Paddleboarding,"No injury, paddleboard bitten",Unprovoked
261,2014.10.20,USA,UNITED KINGDOM,False,Hawaii,"Kahului, Maui",Stand-Up Paddleboarding,"No injury, paddleboard bitten",Unprovoked
262,2014.10.19,USA,UNITED KINGDOM,False,California,"Leadbetter Beach, Santa Barbara County",Canoeing,"No injury to occupant, canoe bitten",Boat
263,2014.10.18,USA,UNITED KINGDOM,False,Hawaii,"Maalaea, South Maui",Surfing,"No injury, surfboard bitten",Unprovoked
264,2014.10.17,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Avoca Beach,Surfing,"Lacerations to left calf & ankle, puncture wounds to left foot",Unprovoked
265,2014.10.14,USA,UNITED KINGDOM,False,South Carolina,"Hilton Head Island, Beaufort County",Standing in inner tube,Lacerations to left foot,Unprovoked
266,2014.10.12,USA,UNITED KINGDOM,False,Florida,"Melbourne Beach, Brevard County",Body surfing or Boogie boarding,Laceration to right hand/wrist,Unprovoked
267,2014.10.07,USA,UNITED KINGDOM,False,Florida,"Cherie Down Park, Brevard County",Fishing,Thigh bitten,Unprovoked
268,2014.10.11,AUSTRALIA,UNITED KINGDOM,False,Western Australia,"Castle Rock, north of Dunsborough",Kayaking,"Kayak deflated, no injury to occupants",Boat
269,2014.10.05.b,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Surfing,Foot bitten,Unprovoked
270,2014.10.05.a,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Surfing,Foot bitten,Unprovoked
271,2014.10.03.b,USA,UNITED KINGDOM,False,California,Santa Barbara County,Kayaking,"No injury to occupant, shark/s holded  kayak",Boat
272,2014.10.03.a,USA,UNITED KINGDOM,False,California,Santa Barbara County,Kayaking ,"No injury to occupant, shark/s holded  kayak",Boat
273,2014.10.02.b,USA,UNITED KINGDOM,False,California,"Walls Beach, Vandenberg AFB, Santa Barbara County",Surfing,Lacerations to knee,Unprovoked
274,2014.10.02.a,AUSTRALIA,UNITED KINGDOM,False,Western Australia,"Kelpids Beach, Wylie Bay, Esperance",Surfing,"Left arm & right hand severed, lacerations to both legs",Unprovoked
275,2014.09.21,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Surfing,Minor injury to left foot,Unprovoked
276,2014.09.13.R,FRENCH POLYNESIA,FRANCE,False,Moorea,Tiahura Lagoon,Feeding fish,Thumb & finger nipped,Unprovoked
277,2014.09.13,USA,UNITED KINGDOM,False,California,"Manresa State Beach, Santa Cruz County",Surfing,"A hoax, no shark involvement",Invalid
278,2014.09.09,AUSTRALIA,UNITED KINGDOM,True,New South Wales,"Clarkes Beach, Byron Bay",Swimming,FATAL,Unprovoked
279,2014.09.06,USA,UNITED KINGDOM,False,Alabama,"Katrina Cut, Dauphin Island, Mobile County",Fishing ,Leg bitten,Unprovoked
280,2014.09.03,USA,UNITED KINGDOM,False,Massachusetts,"Manomet Point, Plymouth, Plymouth County",Kayaking ,"No injury, shark bit kayak",Unprovoked
281,2014.09.02,USA,UNITED KINGDOM,False,Florida,"Fletcher Beach, Hutchinson Island, Martin County",Fishing,Bitten twice on the leg by a shark he was attempting to free from his line PROVOKED INCIDENT,Provoked
282,2014.09.00,SPAIN,SPAIN,False,Catalonia,Salou,Playing with an air mattress,Lacerations to right hand,Unprovoked
283,2014.08.31,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Body surfing,Injury to left calf,Unprovoked
284,2014.08.29.b,USA,UNITED KINGDOM,False,Florida,"Ponce Inlet, Volusia County",Surfing,Lacerations to shin,Unprovoked
285,2014.08.29.a,USA,UNITED KINGDOM,False,Florida,"Atlantic Beach, Duval County",,Shark involvement not confirmed,Invalid
286,2014.08.28,USA,UNITED KINGDOM,False,Maryland,Assateague National Seashore,Fishing,Lacerations to foot by hooked shark PROVOKED INCIDENT,Provoked
287,2014.08.27.c,SPAIN,SPAIN,False,Alicante,Benidorm,Swimming,Minor lacerations to posterior lower leg,Unprovoked
288,2014.08.27.b,USA,UNITED KINGDOM,False,North Carolina,"Figure Eight Island,  New Hanover County",Surfing,Laceration to left hand,Unprovoked
289,2014.08.27.a,USA,UNITED KINGDOM,False,South Carolina,"Surfside Beach, Horry  County",Standing,Heel bitten,Unprovoked
290,2014.08.25,USA,UNITED KINGDOM,False,Florida,Apalachicola Bay ,Fishing for sharks,Lacerations to forearm from hooked shark PROVOKED INCIDENT,Provoked
291,2014.08.24,USA,UNITED KINGDOM,False,North Carolina,"Off Masonboro Island, New Hanover County",Kite boarding,Laceration to left foot,Unprovoked
292,2014.08.16,AUSTRALIA,UNITED KINGDOM,False,Western Australia,Gnaraloo,Spearfishing,Lacerations to face and neck,Unprovoked
293,2014.08.12,USA,UNITED KINGDOM,False,Florida,"3 to 4 miles west of Indian Pass, Gulf County",Standing,Puncture wounds and lacerations to left thigh and knee,Unprovoked
294,2014.08.10,USA,UNITED KINGDOM,False,Florida,"Hallandale Beach, Broward County",,Puncture wounds & lacerations to foot,Unprovoked
295,2014.08.09.R,BAHAMAS,UNITED KINGDOM,False,,,Spearfishing,Puncture wounds to right foot and ankle,Unprovoked
296,2014.08.09,USA,UNITED KINGDOM,False,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Swimming,Puncture wounds to right foot & ankle,Unprovoked
297,2014.08.08,USA,UNITED KINGDOM,False,Louisiana,"Lake Ponchartain off Southshore Harbor, New Orleans",Swimming,Minor lacerations to left heel and big toe,Unprovoked
298,2014.08.06,USA,UNITED KINGDOM,False,South Carolina,"Folly Beach, Charleston County",Boogie boarding,Lacerations to right leg & foot,Unprovoked
299,2014.08.05,USA,UNITED KINGDOM,False,Florida,"Cocoa Beach, Brevard  County",Swimming,Lacerations to  foot,Unprovoked
300,2014.08.02,USA,UNITED KINGDOM,False,Florida,"South of Cocoa Beach, Brevard County",Surfing,Foot bitten,Unprovoked
301,2014.08.02,USA,UNITED KINGDOM,False,Florida,"Table Beach, Brevard County",Boogie boarding,Laceration to ankle,Unprovoked
302,2014.08.01,SOUTH AFRICA,UNITED KINGDOM,False,Western Cape Province,Muizenberg,Surfing,Lower limbs & thigh bitten,Unprovoked
304,2014.07.27,USA,UNITED KINGDOM,False,North Carolina,"Sunset Beach, Brunswick County",Swimming,Left foot bitten,Unprovoked
305,2014.07.22,REUNION,FRANCE,False,Saint-Leu,,Surfing,Lacerations to right wrist & calf,Unprovoked
306,2014.07.21,USA,UNITED KINGDOM,False,Florida,"Indialantic, Brevard County",Standing,Lacerations to right knee,Unprovoked
307,2014.07.20,SPAIN,SPAIN,False,Canary Islands,"Teresita, Santa Cruz, Tenerife",Wading,Minor injury,Unprovoked
308,2014.07.16,USA,UNITED KINGDOM,False,Hawaii,"Paia Bay, Maui",Swimming,Lacerations to left foot,Unprovoked
309,2014.07.14,USA,UNITED KINGDOM,False,Florida,Okaloosa Island,Swimming,Puncture wounds to foot,Unprovoked
310,2014.07.13,BAHAMAS,UNITED KINGDOM,True,West End,Tiger Beach,Shark diving,"Missing after a dive, shark involvement considered probable, but not confirmed",Invalid
311,2014.07.12,USA,UNITED KINGDOM,False,North Carolina,"Masonboro Island, New Hanover County",Body surfing,Lacerations to hand and wrist,Unprovoked
312,2014.07.09,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Surfing,Lacerations to foot,Unprovoked
313,2014.07.05.b,USA,UNITED KINGDOM,False,California,"Manhattan Beach, Los Angeles County",Swimming,PROVOKED INCIDENT Torso bitten by shark hooked by an angler,Provoked
314,2014.07.05.a,USA,UNITED KINGDOM,False,California,"Oceano Dunes State Beach, San Luis Obispo County",Surfing,"No injury, surboard bitten",Unprovoked
315,2014.07.03,USA,UNITED KINGDOM,False,South Carolina,"Isle of Palms, Charleston County",Body surfing,Right hand bitten,Unprovoked
316,2014.06.27.R,NETHERLANDS,OTHER,False,,20 miles from shore,Transatlantic Rowing,His boat was holed by a shark,Boat
317,2014.06.25,BAHAMAS,UNITED KINGDOM,False,Abaco Islands,,Spearfishing,No injury but shark took his pole spear,Unprovoked
318,2014.06.18.b,AUSTRALIA,UNITED KINGDOM,False,South Australia,"Middleton Point, Fleurieu Peninsula",Surfing,"No injury, surfboard 'attacked'",Unprovoked
319,2014.06.18.a,AUSTRALIA,UNITED KINGDOM,False,South Australia,"Middleton Point, Fleurieu Peninsula",Body boarding,Lacerations to knee,Unprovoked
320,2014.06.17.R,AUSTRALIA,UNITED KINGDOM,False,Western Australia,Horizontal Falls,Petting a shark,Lacerations to right hand by captive shark PROVOKED INCIDENT,Provoked
321,2014.06.09.c,BRAZIL,PORTUGAL,False,,500 km off the coast of Pernambuco,Fishing,Severe injury to arm,Unprovoked
322,2014.06.09.b,USA,UNITED KINGDOM,False,Delaware,"Cape Henlopen State Park, Sussex County",Standing,"Abrasion to right hand, lacerations to left forearm",Unprovoked
323,2014.06.09.a,AUSTRALIA,UNITED KINGDOM,False,South Australia,"Parsons Beach,  Fleurieu Peninsula",Body boarding,Minor injury to torso,Unprovoked
324,2014.06.08,JAPAN,OTHER,False,Atsumi peninsula,Aichi,Surfing,Left arm bitten,Unprovoked
325,2014.06.07,USA,UNITED KINGDOM,False,Texas,"West Beach, Galveston",Kneeling in the water,Shallow lacerations & puncture wounds below shoulder,Unprovoked
326,2014.06.01.c,USA,UNITED KINGDOM,False,Florida,Fort Lauderdale,Swimming,Laceration to right lower leg,Unprovoked
327,2014.06.01.b,AUSTRALIA,UNITED KINGDOM,False,New South Wales,"Seven Mile Beach, Gerroa",Surfing,Lacerations & puncture wounds to ankle and foot,Unprovoked
328,2014.06.01.a,USA,UNITED KINGDOM,False,Palmyra Atoll,,Tagging sharks,Laceration to left hand,Unprovoked
329,2014.05.27.R,AUSTRALIA,UNITED KINGDOM,False,Queensland,Nerang River near Chevron Island,Fell into the water,Lacerations to legs,Unprovoked
330,2014.05.23,FRANCE,FRANCE,False,Wallis and Futuna,Wallis Island,Scuba diving,Lacerations to left thigh and hip,Unprovoked
331,2014.05.22,AUSTRALIA,UNITED KINGDOM,False,New South Wales,The Australian Shark and Ray Centre,Teasing a shark,Cut to tip of finger by a captive shark PROVOKED INCIDENT,Provoked
332,2015.11.20,ECUADOR,SPAIN,False,Galapagos Islands,"Punta Vicente Roca, Isabella Island",Snorkeling,Lacerations to left calf,Unprovoked
333,2014.05.15,USA,UNITED KINGDOM,False,Florida,"Juan Ponce de Le�n Landing, Melbourne Beach, Brevard County",Body boarding,Calf bitten,Unprovoked
334,2014.05.14,AUSTRALIA,UNITED KINGDOM,False,South Australia,"Elliston, Eyre Peninsula",Surfing,"No injury, but surfboard severely damaged",Unprovoked
335,2014.05.13,USA,UNITED KINGDOM,False,Florida,"Jacksonville Beach, Duval County",Wading,Lacerations and puncture wounds to right foot,Unprovoked
336,2014.05.11,USA,UNITED KINGDOM,False,Georgia,"Tybee Island, Chatham County",Surfing,Puncture wounds to right thigh,Unprovoked
337,2014.05.10.R,USA,UNITED KINGDOM,False,Florida,"Bethel Shoals, Indian River County",Diving,"No injury. No attack. 12' white shark appeared curious, not aggressive & departed when prodded by spear",Invalid
338,2014.05.06,USA,UNITED KINGDOM,False,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Swimming,Lacerations to left foot,Unprovoked
